OBJECTID,FORMATION_ID,STORAGE_UNIT_ID,STORAGE_UNIT_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,PERIOD_MAX,AGE_MIN,AGE_MAX,LITHOLOGY,WATER_DEPTH,SEAL,SUBSURF_INTERF,SURF_ISSUES,EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,GROSS_THICK_MIN,GROSS_THICK_MEAN,GROSS_THICK_MAX,DEPTH_MIN,DEPTH_MEAN,DEPTH_MAX,PRESSURE_MIN,PRESSURE_MEAN,PRESSURE_MAX,MAX_PRESSURE_MIN,MAX_PRESSURE_MEAN,MAX_PRESSURE_MAX,TEMP_C_MIN,TEMP_C_MEAN,TEMP_C_MAX,PERM_MIN,PERM_MEAN,PERM_MAX,POROSITY_MIN,POROSITY_MEAN,POROSITY_MAX,FIELD_EXTENT_MIN,FIELD_EXTENT_MEAN,FIELD_EXTENT_MAX,VERT_NET_GROSS_MIN,VERT_NET_GROSS_MEAN,VERT_NET_GROSS_MAX,COMPROCK_MIN,COMPROCK_MEAN,COMPROCK_MAX,COMPFLUID_MIN,COMPFLUID_MEAN,COMPFLUID_MAX,SALINITY_BRINE,STATUS,CO2_DENSIT,STORE_EFF_FACT_USER,STORE_EFF_FACT_DB,EST_INJECT_RATE,EST_PLAT_INJECT_RATE_DUR,EST_INJECT_RATE_METH,INJECT_RATE_DB,PLAT_INJECT_RATE_DUR_DB,INJECT_RATE_METH_DB,TOT_PORE_VOL_MIN,TOT_PORE_VOL_MEAN,TOT_PORE_VOL_MAX,EST_EFFECT_DARCY_MIN,EST_EFFECT_DARCY_MEAN,EST_EFFECT_DARCY_MAX,EST_INJECT_RATE_50_MIN,EST_INJECT_RATE_50_MEAN,EST_INJECT_RATE_50_MAX,EST_INJECT_RATE_50_MIN_DB,EST_INJECT_RATE_50_MEAN_DB,EST_INJECT_RATE_50_MAX_DB,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,TOTAL_STORE_CAP,NO_AQUIF_DAUGHT,NO_HC_DAUGHT,STORE_CAP_HCDAUGHTER,SEAL_CHEM_REACT,MIN_SEAL_THICK,EST_CAP_ENT_PRESS,FAULT_DEN,VERT_EXTENT_FAULT,AVE_FAULT_THR,MAX_FAULT_THR_RES,RISK_LAT_MIGR,AVE_DIP_UNIT,SUSCEPT_RES_DAM,RES_MIN,VERT_STRAT_COMPART,HOR_STRAT_COMPART,ADVERSE_DIAG,SEAL_OTHER,NO_WELLS_PENETR,WELL_VINT,NO_ADAND_WELL_PENETR,AGE_OLD_WELL,VINT_PLAT,SEISMIC,WELLS,MODELS,STATUS_RESEARCH,AVE_FAU_THR_AVE_SEAL_THI,REMARKS,COUNTRY,COUNTRYCODE,LAMBERT_E,LAMBERT_N,X_DD,Y_DD,X,Y,Projection_Info,Date_Entered
99,ES_F_20121023122851984,ES_S_20121023130102317,Monegrillo,Saline Aquifer without hydrocarbon fields,,,Triassic,,Sandstone,0,,,,0,95.64,0,Pore vol and storage eff coefficient,0,75,0,0,1100,0,0,111,0,0,0,0,0,54,0,0,0,0,0,0.13,0,0,97.18,0,0,0.7,0,0,0,0,0,0,0,130,,590,25,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,714606.1211,4613026.08,ED_1950_UTM_Zone_30N,23-010-12 13:01:02
100,ES_F_20121023122851984,ES_S_20121023130520764,Lopin,Saline Aquifer without hydrocarbon fields,,,Triassic,,Sandstone,0,,,,0,31.05,0,Pore vol and storage eff coefficient,0,35,0,0,1000,0,0,101,0,0,0,0,0,64,0,0,0,0,0,0.06,0,0,192.44,0,0,0.7,0,0,0,0,0,0,0,0,,550,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,722951.3523,4573828.705,ED_1950_UTM_Zone_30N,23-010-12 13:05:20
101,ES_F_20121023132147228,ES_S_20121023133041819,Villameriel,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Aptian,Sandstone,0,,,,0,198.45,0,Pore vol and storage eff coefficient,0,150,0,0,2360,0,0,237,0,0,0,0,0,83,0,0,0,0,0,0.14,0,0,107.68,0,0,0.6,0,0,0,0,0,0,0,60,,600,25,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,365674.9577,4704865.904,ED_1950_UTM_Zone_30N,23-010-12 13:30:41
102,ES_F_20121023132147228,ES_S_20121023133712929,Boñar,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Aptian,Sandstone,0,,,,0,139.97,0,Pore vol and storage eff coefficient,0,150,0,0,850,0,0,86,0,0,0,0,0,83,0,0,0,0,0,0.16,0,0,80.78,0,0,0.45,0,0,0,0,0,0,0,60,,600,30,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,300316.6177,4741816.535,ED_1950_UTM_Zone_30N,23-010-12 13:37:12
103,ES_F_20121023132147228,ES_S_20121023134059006,San Pedro,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Aptian,Sandstone,0,,,,0,74.52,0,Pore vol and storage eff coefficient,0,230,0,0,1350,0,0,136,0,0,0,0,0,70,0,0,0,0,0,0.2,0,0,41.88,0,0,0.45,0,0,0,0,0,0,0,40,,450,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,415966.8866,4714099.837,ED_1950_UTM_Zone_30N,23-010-12 13:40:59
104,ES_F_20121023132147228,ES_S_20121023134516531,Montes Obanares,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Aptian,Sandstone,0,,,,0,23.15,0,Pore vol and storage eff coefficient,0,300,0,0,2000,0,0,201,0,0,0,0,0,70,0,0,0,0,0,0.15,0,0,2.92,0,0,0.7,0,0,0,0,0,0,0,39,,700,15,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,557084.6441,4731128.861,ED_1950_UTM_Zone_30N,23-010-12 13:45:16
105,ES_F_20121023132147228,ES_S_20121023134837107,Iglesias,Saline Aquifer without hydrocarbon fields,Cretaceous,Cretaceous,Cenomanian,Aptian,Sandstone,0,,,,0,358.2,0,Pore vol and storage eff coefficient,0,190,0,0,1750,0,0,176,0,0,0,0,0,42,0,0,0,0,0,0.15,0,0,193.68,0,0,0.7,0,0,0,0,0,0,0,15,,630,15,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,Utrillas Formation,Spain,ES,0,0,0,0,418075.7393,4685604.399,ED_1950_UTM_Zone_30N,23-010-12 13:48:37
106,ES_F_20121023160316601,ES_S_20121023161630331,Baides 1A,Saline Aquifer without hydrocarbon fields,Triassic,Triassic,,,mixed,0,,,,0,20.45,0,Pore vol and storage eff coefficient,0,150,0,0,1000,0,0,101,0,0,0,0,0,55,0,0,0,0,0,0.09,0,0,51.14,0,0,0.33,0,0,0,0,0,0,0,15,,600,15,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,487170.2977,4527280.162,ED_1950_UTM_Zone_30N,23-010-12 16:16:30
107,ES_F_20121023160316601,ES_S_20121023162128941,Baides 1B,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,32.08,0,Pore vol and storage eff coefficient,0,150,0,0,800,0,0,81,0,0,0,0,0,55,0,0,0,0,0,0.1,0,0,53.84,0,0,0.33,0,0,0,0,0,0,0,15,,600,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,513943.6442,4538706.843,ED_1950_UTM_Zone_30N,23-010-12 16:21:28
108,ES_F_20121023160316601,ES_S_20121023163920992,Tielmes 1,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,123.96,0,Pore vol and storage eff coefficient,0,86,0,0,1500,0,0,151,0,0,0,0,0,53,0,0,0,0,0,0.08,0,0,168.19,0,0,0.55,0,0,0,0,0,0,0,15,,650,30,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,492785.7083,4436584.649,ED_1950_UTM_Zone_30N,23-010-12 16:39:20
109,ES_F_20121023160316601,ES_S_20121023164400867,El Hito A,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,90.4,0,Pore vol and storage eff coefficient,0,180,0,0,2100,0,0,211,0,0,0,0,0,68,0,0,0,0,0,0.06,0,0,89.96,0,0,0.5,0,0,0,0,0,0,0,15,,930,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,533899.2704,4418506.917,ED_1950_UTM_Zone_30N,23-010-12 16:44:00
110,ES_F_20121023160316601,ES_S_20121023170219174,El Hito B,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,61.28,0,Pore vol and storage eff coefficient,0,215,0,0,2550,0,0,256,0,0,0,0,0,79,0,0,0,0,0,0.06,0,0,49.74,0,0,0.5,0,0,0,0,0,0,0,15,,950,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,546248.5174,4403405.054,ED_1950_UTM_Zone_30N,23-010-12 17:02:19
111,ES_F_20121023160316601,ES_S_20121023170600195,Altomira,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed (sandstone and dolostone),0,,,,0,397.74,0,Pore vol and storage eff coefficient,0,90,0,0,1300,0,0,131,0,0,0,0,0,48,0,0,0,0,0,0.08,0,0,497.82,0,0,0.5,0,0,0,0,0,0,0,15,,675,30,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,516616.807,4461094.278,ED_1950_UTM_Zone_30N,23-010-12 17:06:00
112,ES_F_20121023160316601,ES_S_20121023170952617,Tribaldos,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,Sandstone,0,,,,0,51.65,0,Pore vol and storage eff coefficient,0,86,0,0,1200,0,0,121,0,0,0,0,0,45,0,0,0,0,0,0.08,0,0,70.14,0,0,0.55,0,0,0,0,0,0,0,15,,650,30,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,506091.2935,4423022.587,ED_1950_UTM_Zone_30N,23-010-12 17:09:52
113,ES_F_20121023160316601,ES_S_20121023171317549,Burgo de Osma,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,34.78,0,Pore vol and storage eff coefficient,0,300,0,0,1950,0,0,196,0,0,0,0,0,64,0,0,0,0,0,0.07,0,0,9.61,0,0,0.6,0,0,0,0,0,0,0,15,,920,30,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,495545.0061,4602419.572,ED_1950_UTM_Zone_30N,23-010-12 17:13:17
114,ES_F_20121023160316601,ES_S_20121023171755473,La Ventosa,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,6.98,0,Pore vol and storage eff coefficient,0,100,0,0,3000,0,0,301,0,0,0,0,0,90,0,0,0,0,0,0.06,0,0,25.65,0,0,0.5,0,0,0,0,0,0,0,15,,970,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,542553.386,4440943.985,ED_1950_UTM_Zone_30N,23-010-12 17:17:55
115,ES_F_20121023160316601,ES_S_20121023172217233,Obon-Oliete A,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,41.77,0,Pore vol and storage eff coefficient,0,130,0,0,550,0,0,56,0,0,0,0,0,29,0,0,0,0,0,0.09,0,0,25.93,0,0,0.7,0,0,0,0,0,0,0,15,,400,25,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,699247.5956,4538687.593,ED_1950_UTM_Zone_30N,23-010-12 17:22:17
116,ES_F_20121023160316601,ES_S_20121023172743677,Obon-Oliete B,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,24.9,0,Pore vol and storage eff coefficient,0,190,0,0,675,0,0,69,0,0,0,0,0,32,0,0,0,0,0,0.09,0,0,51.51,0,0,0.7,0,0,0,0,0,0,0,15,,400,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,694147.1869,4532686.788,ED_1950_UTM_Zone_30N,23-010-12 17:27:43
117,ES_F_20121023160316601,ES_S_20121023173759891,Puerta Pareja,Saline Aquifer without hydrocarbon fields,Triassic,Permian,,,mixed,0,,,,0,4.12,0,Pore vol and storage eff coefficient,0,53,0,0,1870,0,0,188,0,0,0,0,0,62,0,0,0,0,0,0.04,0,0,90.64,0,0,0.23,0,0,0,0,0,0,0,80,,640,15,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,532714.5422,4491687.226,ED_1950_UTM_Zone_30N,23-010-12 17:37:59
118,ES_F_20121023160316601,ES_S_20121023174234893,Almazan,Saline Aquifer without hydrocarbon fields,Triassic,Triassic,,,Sandstone,0,,,,0,80.59,0,Pore vol and storage eff coefficient,0,50,0,0,1000,0,0,101,0,0,0,0,0,40,0,0,0,0,0,0.07,0,0,313.02,0,0,0.5,0,0,0,0,0,0,0,19,,750,20,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,Spain,ES,0,0,0,0,546525.0022,4581346.728,ED_1950_UTM_Zone_30N,23-010-12 17:42:34
